"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放期別","股利發放頻率","現金股利","股票股利","合計股利","除息價","除息價年化現金殖利率","除權價","除權價年化股票殖利率","除權息年化合計殖利率","除息交易日","除權交易日","現金股利發放日"
="00962","台新AI優息動能","04/10","11.31","+0.17","+1.53","26M04","月","0.05","0","0.05","11.31","5.31","","0","5.31","'26/04/17","","'26/05/08"
="00963","中信全球高股息","04/10","12.76","+0.01","+0.08","26M04","月","0.045","0","0.045","12.76","4.23","","0","4.23","'26/04/20","","'26/05/15"
="00964","中信亞太高股息","04/10","13.71","+0.04","+0.29","26M04","月","0.1","0","0.1","13.71","8.75","","0","8.75","'26/04/20","","'26/05/15"
="00965","元大航太防衛科技","04/10","25.76","+0.13","+0.51","2025","年","0","0","0","","0","","0","0","","",""
"00966B","統一ESG投等債15+","04/10","14.06","-0.03","-0.21","26M03","月","0.068","0","0.068","13.9","5.87","","0","5.87","'26/03/31","","'26/04/24"
"00967B","元大優息美債","04/10","9.28","-0.03","-0.32","26M04","月","0.033","0","0.033","9.28","4.27","","0","4.27","'26/04/23","","'26/05/14"
"00968B","元大優息投等債","04/10","9.37","-0.01","-0.11","26M04","月","0.043","0","0.043","9.37","5.51","","0","5.51","'26/04/23","","'26/05/14"
"00969B","元大零息超長美債","04/10","8.48","-0.06","-0.7","2025","年","0","0","0","","0","","0","0","","",""
"00970B","新光BBB投等債20+","04/10","9.47","-0.02","-0.21","26M04","月","0.052","0","0.052","9.47","6.59","","0","6.59","'26/04/17","","'26/05/08"
="00971","野村美國研發龍頭","04/10","15.25","+0.1","+0.66","2025","年","1","0","1","16.9","5.92","","0","5.92","'25/12/16","","'26/01/13"
="00972","野村日本動能高息","04/10","19.28","-0.15","-0.77","26Q1","季","0.27","0","0.27","18.92","5.71","","0","5.71","'26/03/17","","'26/04/14"
="009800","中信NASDAQ","04/10","11.06","+0.07","+0.64","","","","","","","","","","","","",""
="009801","中信美國創新科技","04/10","10.65","+0.04","+0.38","","","","","","","","","","","","",""
="009802","富邦旗艦50","04/10","13.25","+0.18","+1.38","26Q1","季","0.092","0","0.092","12.88","2.86","","0","2.86","'26/03/17","","'26/04/13"
="009803","保德信市值動能50","04/10","16.57","+0.33","+2.03","26Q1","季","0.25","0","0.25","15.53","6.44","","0","6.44","'26/03/17","","'26/04/09"
="009804","聯邦台精彩50","04/10","17.86","+0.28","+1.59","26H1","半年","0.876","0","0.876","17.86","9.81","","0","9.81","'26/04/20","","'26/05/14"
="009805","新光美國電力基建","04/10","15.96","+0.37","+2.37","","","","","","","","","","","","",""
="009806","台新標普500","04/10","11.96","+0.08","+0.67","","","","","","","","","","","","",""
="009807","台新標普科技精選","04/10","12.75","+0.02","+0.16","","","","","","","","","","","","",""
="009808","華南永昌優選50","04/10","23.37","+0.34","+1.48","26Q1","季","0.481","0","0.481","24.03","8.01","","0","8.01","'26/02/26","","'26/03/18"
="009809","富邦淨零ESG50","04/10","13.04","+0.18","+1.4","","","","","","","","","","","","",""
"00980A","主動野村臺灣優選","04/10","18.79","+0.31","+1.68","26Q1","季","0.368","0","0.368","17.9","8.22","","0","8.22","'26/02/26","","'26/03/26"
"00980B","台新特選IG債10+","04/10","9.58","-0.01","-0.1","26M04","月","0.047","0","0.047","9.58","5.89","","0","5.89","'26/04/17","","'26/05/08"
"00980D","主動聯博投等入息","04/10","20.59","0","0","26M04","月","0.114","0","0.114","20.59","6.64","","0","6.64","'26/04/20","","'26/05/13"
"00980T","平衡凱基美國TOP","04/10","10.55","+0.09","+0.86","","","","","","","","","","","","",""
="009810","保德信全球藍籌","04/10","18.71","+0.13","+0.7","","","","","","","","","","","","",""
="009811","統一美國50","04/10","11.47","+0.13","+1.15","","","","","","","","","","","","",""
="009812","野村日本東證","04/10","11.73","-0.05","-0.42","","","","","","","","","","","","",""
="009813","貝萊德標普卓越50","04/10","10.19","+0.07","+0.69","","","","","","","","","","","","",""
="009814","富邦標普500","04/10","10.05","+0.04","+0.4","","","","","","","","","","","","",""
="009815","大華美國MAG7+","04/10","9.66","+0.11","+1.15","","","","","","","","","","","","",""
="009816","凱基台灣TOP50","04/10","11.4","+0.21","+1.88","","","","","","","","","","","","",""
